array,site,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,nat_land,coyote_pres,coyote_abs,coyote_tot,fisher,snowshoe_hare,white_tailed_deer,lynx,red_squirrel,moose,grey_wolf
LU13,LU13_18,0.008836041,0.012709924,0.00395725099999999,0,0.00505058,0.00661335999999999,0.722516964,9,3,30,0,74,13,4,35,0,0
LU13,LU13_15,0.00428451999999999,0.009676805,0.00555676099999999,0,0.00329124599999999,0.004898922,0.8565974900000001,8,4,11,0,17,8,1,3,0,3
LU13,LU13_03,0,0.00253854199999999,0.00949755599999999,0,0.00387048,0,0.9971795359999998,5,7,10,0,0,4,0,0,9,0
LU13,LU13_34,0,0.002414871,0.012112902,0,0.00339745899999999,0,1,3,9,3,2,0,0,0,27,0,5
LU13,LU13_57,0.028845504,0.007624739,0.00935318999999999,0.05781197700000001,7.479139999999998e-4,0.016015428,0.9561628950000003,2,10,2,0,2,0,1,0,2,0
LU13,LU13_16,0.006635011,0.012415144,0.004798726,0,0.005000021,0.007029659,0.7946670000000001,7,5,10,0,3,3,5,20,3,0
LU13,LU13_21,0.009786016,0.011463796,0.003099595,0,0.005078651,0.005522343,0.662710319,9,3,32,0,17,14,5,7,0,0
LU13,LU13_37,4.19639e-4,0.002670424,0.01085147299999999,0,0.002261704,0,1,0,12,0,0,4,0,1,1,2,0
LU13,LU13_55,0.013640659,0.002973362,0.007772506,0,0.001462813,0.00231298699999999,1.0000000000000002,0,12,0,0,0,0,0,0,0,0
LU13,LU13_47,0.031442139,0.005800671,0.007487227,0.04305359700000002,4.71646e-4,0.019459267,0.9732255740000001,1,11,1,0,9,0,2,0,5,0
LU13,LU13_51,0.020615168,0.003141733,0.00591614799999999,0,0.00144377199999999,0.01050512799999999,1.0000000000000004,1,12,1,0,0,1,4,0,2,8
LU13,LU13_27,0.024201127,0.003222003,0.00511468899999999,0,0.001147863,0.011383289,1,0,13,0,0,15,0,0,0,0,0
LU13,LU13_05,0.027837095,0.002649841,0.004506681,2.66e-6,3.878620000000001e-4,0.013460507,0.9990730320000001,0,13,0,0,0,5,0,0,9,0
LU13,LU13_26,0.017269011,0.00280314599999999,0.006457135,0,0.00215457499999999,0.00839789,1,0,13,0,1,4,0,1,7,5,1
LU13,LU13_35,0,0.002601523,0.01181301399999999,0,0.00327416,0,0.9999999989999997,3,10,3,0,0,1,0,1,12,1
LU13,LU13_13,0.008392925,0.002127528,0.00728721699999999,0,0.00310725,0.005178945,1.000000001,2,11,3,1,5,9,2,4,3,2
LU13,LU13_128,0.008412356,0.006347951,0.00726682699999999,0,0.003503875,0.005170196,0.9807088460000002,4,9,7,0,16,4,7,6,6,13
LU13,LU13_131,0.008184752,0.005497395,0.007616433,0,0.003980893,0.005172268,0.9815923179999995,1,12,1,0,17,3,8,4,7,2
LU13,LU13_12,0.008000443,0.010308611,0.00714533,0,0.003682474,0.005220333,0.9486710260000001,1,12,1,0,5,3,1,0,3,0
LU13,LU13_33,0.008105455,0.013882986,0.007697496,0,0.003948522,0.005877815,0.9375834409999997,4,9,4,0,22,3,23,18,2,0
LU13,LU13_32,0.00815221,0.019255771,0.007183683,0,0.003852859,0.006980906,0.9300721299999999,1,12,1,0,33,1,6,1,1,0
LU13,LU13_30,0.008075354,0.02194812,0.00669588899999999,0,0.003593543,0.007883648,0.902081868,7,6,16,0,7,6,3,1,4,2
LU13,LU13_53,0.022999571,0.003096371,0.005603286,0,9.72892e-4,0.00908197499999999,1.0000000000000004,1,12,1,0,14,0,0,5,1,1
