simulation,Parameter,Estimate,model
1,(Intercept),-1.3845645631253114,NA
1,sim_nat_land,-0.3476407302684057,NA
1,sim_wide_lf,0.87949747389345,NA
1,sim_wtd,-0.045011016474587606,NA
1,sim_moose,-0.0650400745300426,NA
1,sim_squirrel,0.07556875075693056,NA
1,sim_hare,0.26050552668899135,NA
1,sim_wolf,0.17367840263944379,NA
1,sim_lynx,0.15855053576866998,NA
1,sim_fisher,0.028679929789489113,NA
1,NA,NA,sim_global
2,(Intercept),-1.7073526055659427,NA
2,sim_nat_land,-0.35965844738874786,NA
2,sim_wide_lf,0.4168902009229437,NA
2,sim_wtd,0.035079366948374796,NA
2,sim_moose,-0.045809241764128206,NA
2,sim_squirrel,0.07755024696014426,NA
2,sim_hare,0.21896866034812945,NA
2,sim_wolf,0.18605379117746162,NA
2,sim_lynx,0.18196345585393994,NA
2,sim_fisher,0.03935874584388182,NA
2,NA,NA,sim_global
3,(Intercept),-1.290196218042094,NA
3,sim_nat_land,-0.3862030423189381,NA
3,sim_wide_lf,0.530046556582837,NA
3,sim_wtd,0.0261154030534645,NA
3,sim_moose,-0.048432646485292406,NA
3,sim_squirrel,0.0999005269093114,NA
3,sim_hare,0.15747328561142795,NA
3,sim_wolf,0.19416941458613093,NA
3,sim_lynx,0.1404368553267358,NA
3,sim_fisher,0.018686456661658062,NA
3,NA,NA,sim_global
4,(Intercept),-1.5106938097839,NA
4,sim_nat_land,-0.616769450884104,NA
4,sim_wide_lf,0.6931857849873917,NA
4,sim_wtd,0.048591099973895206,NA
4,sim_moose,-0.05237714248804068,NA
4,sim_squirrel,0.0813790516709442,NA
4,sim_hare,0.16814075724527464,NA
4,sim_wolf,0.21058534546766272,NA
4,sim_lynx,0.21389121575935563,NA
4,sim_fisher,0.027127876136366184,NA
4,NA,NA,sim_global
5,(Intercept),-1.2927766580318543,NA
5,sim_nat_land,-0.35645742994478324,NA
5,sim_wide_lf,0.2653302586434068,NA
5,sim_wtd,0.09134784996010317,NA
5,sim_moose,-0.08120566928373399,NA
5,sim_squirrel,0.1006075080378263,NA
5,sim_hare,0.16530098240661717,NA
5,sim_wolf,0.18056060183502842,NA
5,sim_lynx,0.1740356824620188,NA
5,sim_fisher,0.08504108918958628,NA
5,NA,NA,sim_global
6,(Intercept),-1.197984338540426,NA
6,sim_nat_land,-0.3332127809522768,NA
6,sim_wide_lf,0.47062801574063184,NA
6,sim_wtd,0.08232550810190503,NA
6,sim_moose,-0.07198466324501471,NA
6,sim_squirrel,0.0832240085438864,NA
6,sim_hare,0.1970655441695136,NA
6,sim_wolf,0.17158812699337764,NA
6,sim_lynx,0.12945317908519127,NA
6,sim_fisher,0.055454046718197786,NA
6,NA,NA,sim_global
7,(Intercept),-1.1699949471157443,NA
7,sim_nat_land,-0.535434945241706,NA
7,sim_wide_lf,0.4520736139134907,NA
7,sim_wtd,0.05603973160043396,NA
7,sim_moose,-0.07196032950433513,NA
7,sim_squirrel,0.03941312456380115,NA
7,sim_hare,0.10246866024907847,NA
7,sim_wolf,0.18295035528945894,NA
7,sim_lynx,0.1626800281056151,NA
7,sim_fisher,0.04702454289181293,NA
7,NA,NA,sim_global
8,(Intercept),-1.2645443184664003,NA
8,sim_nat_land,-0.42172513749168733,NA
8,sim_wide_lf,0.2986250050638047,NA
8,sim_wtd,0.04635692543676685,NA
8,sim_moose,-0.08907272799286348,NA
8,sim_squirrel,0.0881578846989819,NA
8,sim_hare,0.19065301986004685,NA
8,sim_wolf,0.1606223191908932,NA
8,sim_lynx,0.17986654562181834,NA
8,sim_fisher,0.05350627316602939,NA
8,NA,NA,sim_global_int
9,(Intercept),-1.2387618681748096,NA
9,sim_nat_land,-0.2730656191988384,NA
9,sim_wide_lf,0.24721353327316042,NA
9,sim_wtd,0.028198709719866155,NA
