Project.ID,Deployment.Location.ID,Camera.Deployment.Begin.Date,Camera.Deployment.End.Date,Deployment.ID,Months.Deployed,Camera.Failure.Details
OSM_LU3,LU3_14,08-Jul-21,03-Feb-22,D1,7,210
OSM_LU3,LU3_19,08-Jul-21,11-Jun-22,D1,11,
OSM_LU3,LU3_20,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_21,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_25,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_32,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_45,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_48,08-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_49,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_50,08-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_07,09-Jul-21,11-Jun-22,D1,11,
OSM_LU3,LU3_46,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_38,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_10,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_52,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_28,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_126,09-Jul-21,11-Jun-22,D1,11,
OSM_LU3,LU3_129,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_51,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_147,09-Jul-21,02-Feb-22,D1,7,
OSM_LU3,LU3_39,10-Jul-21,04-Feb-22,D1,7,
OSM_LU3,LU3_40,10-Jul-21,04-Feb-22,D1,7,
OSM_LU3,LU3_41,10-Jul-21,04-Feb-22,D1,7,
OSM_LU3,LU3_36,10-Jul-21,04-Feb-22,D1,7,
OSM_LU3,LU3_17,10-Jul-21,11-Jun-22,D1,11,
OSM_LU3,LU3_15,10-Jul-21,11-Jun-22,D1,11,
OSM_LU3,LU3_44,10-Jul-21,11-Jun-22,D1,11,
OSM_LU3,LU3_27,10-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_13,11-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_18,11-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_137,11-Jul-21,03-Feb-22,D1,7,
OSM_LU3,LU3_111,11-Jul-21,04-Feb-22,D1,7,
OSM_LU3,LU3_131,11-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_103,11-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_102,11-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_05,11-Jul-21,12-Jun-22,D1,11,
OSM_LU3,LU3_106,11-Jul-21,NA,D1,0,"CAMERA NOT RETRIEVED. Camera site is now a cutblock, camera was cut down."
OSM_LU2,LU2_15,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_106,12-Jul-21,05-Feb-22,D1,7,
OSM_LU2,LU2_34,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_101,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_05,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_36,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_24,12-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_13,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_32,12-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_51,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_153,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_50,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_46,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_25,13-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_26,13-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_44,13-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_143,13-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_42,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_18,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_110,13-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_47,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_39,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_17,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_38,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_40,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_57,14-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_56,14-Jul-21,10-Sep-22,D1,14,
