site,Black bear,Coyote,Fisher,Moose,Other birds,Red squirrel,Snowshoe hare,Staff,Unknown,Unknown deer,Unknown mustelid,White-tailed deer,Raven,Striped skunk,Cougar,Grey wolf,Lynx,Red fox,Ruffed grouse,Unknown canid,Unknown ungulate,Short-tailed weasel,Human,Spruce grouse,Domestic dog,Porcupine,Otter,Grey jay,Owl,Other,Beaver,Marten,ATVer,Wolverine,Caribou,Long-tailed weasel,Hunter,Snowmobiler,Canada goose
LU01_06,23,6,10,4,1,3,7,2,17,3,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_10,5,4,8,2,0,0,1,1,0,3,1,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_11,7,13,4,8,2,9,8,2,16,7,1,73,0,5,1,3,1,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_13,15,20,6,15,0,0,0,2,9,7,0,138,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_22,12,27,6,1,0,39,25,2,6,5,0,42,2,1,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_25,28,13,1,0,0,1,2,2,2,11,0,75,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_27,5,41,1,2,4,135,4,2,10,17,1,89,0,2,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_30,14,0,1,7,0,0,0,2,5,4,1,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_32,25,24,0,2,0,47,63,2,7,4,0,28,0,0,0,0,0,9,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_36,19,6,3,0,1,5,9,2,2,6,0,18,3,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_40,13,19,4,4,0,3,26,1,6,11,1,40,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_41,6,11,0,4,0,6,31,2,14,18,0,107,0,2,0,1,0,3,0,2,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU01_43,3,22,2,2,0,8,63,2,0,6,0,43,0,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
