site,Black bear,Coyote,Fisher,Snowshoe hare,Staff,Unknown deer,White-tailed deer,Cougar,Raven,Unknown,Domestic dog,Lynx,Other,Red fox,Red squirrel,Unknown mustelid,Striped skunk,Moose,Marten,Ruffed grouse,Unknown canid,Grey wolf,Spruce grouse,Unknown ungulate,Other birds,Mule deer,Owl,Beaver,Human,Elk,Caribou,Grey jay,ATVer,Snowmobiler,Arctic hare
LU2_03,3,1,2,5,2,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_05,6,0,0,0,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_100,2,3,3,13,3,0,35,0,0,4,2,4,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_101,11,14,1,19,2,0,54,0,0,0,0,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_106,2,26,0,21,2,0,29,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_110,6,4,2,59,1,0,45,0,2,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_119,7,22,1,77,2,0,24,1,0,2,0,9,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_123,8,0,1,0,2,0,9,0,0,1,0,0,0,1,15,0,1,4,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_13,1,5,1,46,2,4,11,0,0,1,0,2,0,0,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LU2_137,2,8,0,7,2,0,71,1,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU2_143,14,4,1,5,2,0,42,0,0,0,0,3,0,0,1,1,1,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_15,1,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_153,14,5,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_155,5,1,0,8,2,0,91,1,0,0,0,0,0,0,0,0,0,2,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_17,14,4,0,87,2,0,61,1,0,3,0,0,0,0,2,0,2,6,1,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
LU2_18,7,2,3,79,2,0,30,0,0,3,0,9,0,0,3,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
LU2_20,15,3,0,0,2,0,62,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU2_21,17,2,7,9,1,0,49,0,0,1,0,1,0,0,6,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_24,15,6,0,101,1,0,44,0,0,5,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_25,8,17,9,46,2,0,26,3,0,2,0,1,0,0,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_26,13,0,0,4,2,0,98,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_27,4,0,2,19,3,0,11,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0
LU2_29,9,2,1,3,2,0,24,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_30,10,5,0,0,2,3,31,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LU2_31,13,2,0,29,2,1,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LU2_32,7,2,4,5,2,0,17,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_33,8,5,0,115,2,4,21,1,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LU2_34,9,11,8,25,2,3,17,0,0,1,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
LU2_36,5,0,4,0,2,0,26,0,0,6,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LU2_38,11,1,0,0,2,0,10,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LU2_39,9,11,0,155,2,0,75,10,0,6,0,3,0,0,36,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_40,7,1,0,14,2,0,115,0,0,3,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
LU2_42,12,2,9,70,2,0,23,0,0,2,0,2,0,0,1,0,0,1,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
LU2_44,2,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_46,31,2,0,5,2,0,116,1,0,4,4,0,0,0,5,0,3,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_47,2,2,1,2,2,0,103,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_50,6,16,0,132,2,0,124,1,0,0,0,0,0,2,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_51,5,3,0,0,2,0,94,1,0,3,1,0,0,1,1,1,0,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LU2_52,14,0,0,54,2,0,51,1,0,2,0,2,0,0,17,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2_54,7,3,0,8,2,0,118,0,0,2,0,2,0,0,1,0,0,0,10,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0
LU2_56,10,0,0,4,2,0,58,0,0,1,0,0,1,1,2,0,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
